"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"pacId"	"transcriptName"	"peptideName"	"Pfam"	"Panther"	"KOG"	"KEGG.ec"	"KO"	"GO"	"Best.hit.arabi.name"	"arabi.symbol"	"arabi.defline"
"Prupe.1G008500"	373.47347916927	-0.882139598239563	0.290667879084655	-3.03487127995538	0.00240638365292256	0.0155806080262477	32119976	"Prupe.1G008500.1"	"Prupe.1G008500.1.p"	"PF04419"	"PTHR13596,PTHR13596:SF5"	""	""	""	""	"AT3G24100.1"	""	"Uncharacterised protein family SERF"
"Prupe.1G010200"	19.7178614682659	1.09706377383117	0.420086547171707	2.61151846260564	0.00901411205324085	0.0451948316288289	32119416	"Prupe.1G010200.1"	"Prupe.1G010200.1.p"	""	""	""	""	""	""	"AT5G15020.1"	"SNL2"	"SIN3-like 2"
"Prupe.1G010500"	477.692037401731	-0.612029229989058	0.238183511405353	-2.56957010322799	0.0101824787356381	0.0496278788991164	32111009	"Prupe.1G010500.1"	"Prupe.1G010500.1.p"	"PF00627,PF09409"	"PTHR13020,PTHR13020:SF34"	"KOG2699"	""	""	""	"AT1G04850.1"	""	"ubiquitin-associated (UBA)/TS-N domain-containing protein"
"Prupe.1G010900"	16.0553254014171	-1.61990150053214	0.512984648260501	-3.15779722848456	0.00158966089011225	0.0110394940676135	32118672	"Prupe.1G010900.1"	"Prupe.1G010900.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G011100"	10.9642485918492	-2.0199892456479	0.581647093926509	-3.47287774105706	0.000514909854679769	0.0042837639299053	32120665	"Prupe.1G011100.1"	"Prupe.1G011100.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G011900"	30.8398936437148	4.50174868090995	0.610223903879539	7.3772080252671	1.61643344648907e-13	8.92148606265486e-12	32114499	"Prupe.1G011900.1"	"Prupe.1G011900.1.p"	"PF02727,PF02728,PF01179"	"PTHR10638,PTHR10638:SF36"	""	"1.4.3.21"	"K00276"	"GO:0055114,GO:0048038,GO:0009308,GO:0008131,GO:0005507"	"AT1G31710.1"	""	"Copper amine oxidase family protein"
"Prupe.1G012700"	11.3378019221673	1.78626727553492	0.5878453148029	3.03866889903484	0.00237625860775592	0.0154418898549959	32117277	"Prupe.1G012700.1"	"Prupe.1G012700.1.p"	""	""	""	""	""	""	"AT4G08980.5"	"FBW2"	"F-BOX WITH WD-40 2"
"Prupe.1G013100"	91.9115833564843	0.962167017428063	0.319586332284778	3.01066384957506	0.0026067726263426	0.0165594296032731	32118512	"Prupe.1G013100.1"	"Prupe.1G013100.1.p"	"PF00069"	"PTHR13902,PTHR13902:SF70"	""	"2.7.11.1"	"K08867"	"GO:0006468,GO:0005524,GO:0004672"	"AT3G04910.1"	"ATWNK1,WNK1,ZIK4"	"with no lysine (K) kinase 1"
"Prupe.1G015200"	4.64184974818318	2.19016716604133	0.788340391938978	2.77819985939634	0.00546609858881677	0.0303855475543236	32117103	"Prupe.1G015200.1"	"Prupe.1G015200.1.p"	"PF10273"	"PTHR21250,PTHR21250:SF1"	""	""	"K14800"	""	"AT3G22510.1"	""	"Pre-rRNA-processing protein TSR2, conserved region"
"Prupe.1G015400"	192.426345930014	-0.898442837662675	0.305720293815063	-2.9387739572374	0.00329513298773515	0.0201368525163924	32116410	"Prupe.1G015400.1"	"Prupe.1G015400.1.p"	""	"PTHR33879,PTHR33879:SF3"	""	""	""	""	"AT3G22530.1"	""	""
"Prupe.1G015700"	24.2848985318623	1.33081692792318	0.47461868498818	2.80397078753089	0.00504774783187542	0.0284377406207399	32110891	"Prupe.1G015700.1"	"Prupe.1G015700.1.p"	"PF04622"	""	""	""	""	""	"AT1G05440.1"	""	"C-8 sterol isomerases"
"Prupe.1G015800"	79.3643974801067	0.902746491874646	0.314697108250589	2.86862023262	0.00412266474181768	0.0241896255061535	32118677	"Prupe.1G015800.1"	"Prupe.1G015800.1.p"	"PF07911"	"PTHR33108,PTHR33108:SF2"	""	""	""	""	"AT3G22540.1"	""	"Protein of unknown function (DUF1677)"
"Prupe.1G016000"	708.34583036094	-0.967799831058115	0.309708177019741	-3.12487658663409	0.00177879671615573	0.0121079458292873	32114871	"Prupe.1G016000.1"	"Prupe.1G016000.1.p"	"PF04570"	"PTHR33059,PTHR33059:SF26"	""	""	""	""	"AT3G22550.1"	""	"Protein of unknown function (DUF581)"
"Prupe.1G016200"	18.354275636994	-1.12770161784016	0.431168975974665	-2.61545166901439	0.00891095314856964	0.0447989315783187	32117559	"Prupe.1G016200.1"	"Prupe.1G016200.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G016600"	53.3243157512214	-3.37641915009922	0.45683872615204	-7.39083391318168	1.45910784552517e-13	8.09705459999064e-12	32120657	"Prupe.1G016600.1"	"Prupe.1G016600.1.p"	"PF13302"	"PTHR13256,PTHR13256:SF47"	""	"2.3.1.57"	""	"GO:0008080"	"AT2G32030.1"	""	"Acyl-CoA N-acyltransferases (NAT) superfamily protein"
"Prupe.1G016900"	18.2616480997655	2.4966940719102	0.714235430343839	3.4956177834923	0.00047296565931844	0.00398457966700213	32112265	"Prupe.1G016900.1"	"Prupe.1G016900.1.p"	"PF14368"	"PTHR33044,PTHR33044:SF23"	""	""	""	""	"AT3G22600.1"	""	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"Prupe.1G017800"	3.59564238345841	3.19155487482294	0.915061149856907	3.48780502299986	0.000487003077431336	0.00408160686212617	32113122	"Prupe.1G017800.1"	"Prupe.1G017800.1.p"	"PF00520"	""	""	""	""	"GO:0055085,GO:0016020,GO:0006811,GO:0005216"	"AT5G53130.1"	"ATCNGC1,CNGC1"	"cyclic nucleotide gated channel 1"
"Prupe.1G018600"	35.4564068312979	-1.68664090513434	0.428833988345632	-3.93308588165111	8.38622580162673e-05	0.000897026652709716	32119036	"Prupe.1G018600.1"	"Prupe.1G018600.1.p"	""	"PTHR11017,PTHR11017:SF162"	""	""	""	""	"AT1G69550.1"	""	"disease resistance protein (TIR-NBS-LRR class)"
"Prupe.1G018700"	34.0818730900345	-1.4629062475139	0.424766879115608	-3.44402146080638	0.00057313020789027	0.00472374334839872	32112424	"Prupe.1G018700.1"	"Prupe.1G018700.1.p"	"PF13676,PF00931"	"PTHR11017,PTHR11017:SF169"	""	""	""	"GO:0007165,GO:0005515,GO:0043531"	"AT5G36930.2"	""	"Disease resistance protein (TIR-NBS-LRR class) family"
"Prupe.1G018900"	606.785055662848	1.6986184536377	0.326203628787812	5.20723346932053	1.91676866444237e-07	3.80306752369217e-06	32111025	"Prupe.1G018900.1"	"Prupe.1G018900.1.p"	"PF02574"	"PTHR21091,PTHR21091:SF114"	"KOG1579"	"2.1.1.10"	"K00547"	""	"AT3G22740.1"	"HMT3"	"homocysteine S-methyltransferase 3"
"Prupe.1G019400"	856.077333977903	0.470186335933424	0.180034215870198	2.61164986700317	0.00901064847475579	0.0451885907010284	32115176	"Prupe.1G019400.1"	"Prupe.1G019400.1.p"	"PF07765"	"PTHR32258,PTHR32258:SF6"	"KOG0962,KOG4674"	""	""	""	"AT1G03080.1"	""	"kinase interacting (KIP1-like) family protein"
"Prupe.1G020000"	33.4385723056086	-2.01585832191773	0.377069997341468	-5.34611169313533	8.98637668357126e-08	1.93259289902442e-06	32116099	"Prupe.1G020000.1"	"Prupe.1G020000.1.p"	"PF13178,PF00612"	"PTHR32295,PTHR32295:SF43"	""	""	""	"GO:0005515"	"AT4G14750.1"	"IQD19"	"IQ-domain 19"
"Prupe.1G020500"	3.777920241292	-3.48864831977424	0.91044110467678	-3.83182207158009	0.000127197719633199	0.00128116160140936	32120365	"Prupe.1G020500.1"	"Prupe.1G020500.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G020800"	54.5112415898662	-5.25757615581388	0.535899650436928	-9.81074750007262	1.01215974169869e-22	1.36514207281029e-20	32114229	"Prupe.1G020800.1"	"Prupe.1G020800.1.p"	""	"PTHR33109,PTHR33109:SF4"	""	""	""	""	"AT4G14723.1"	""	""
"Prupe.1G020900"	91.5776785972308	-1.00544953848957	0.313261853690894	-3.20961370381752	0.00132913465980637	0.00954483655910318	32119284	"Prupe.1G020900.1"	"Prupe.1G020900.1.p"	"PF09425,PF06200"	"PTHR33077,PTHR33077:SF10"	""	""	""	""	"AT4G14720.1"	"PPD2,TIFY4B"	"TIFY domain/Divergent CCT motif family protein"
"Prupe.1G021400"	332.379184401779	1.12759759995349	0.228503669360719	4.93470237527541	8.02730735638672e-07	1.38545882728959e-05	32113585	"Prupe.1G021400.1"	"Prupe.1G021400.1.p"	"PF00504"	"PTHR14154,PTHR14154:SF5"	""	""	""	""	"AT3G22840.1"	"ELIP,ELIP1"	"Chlorophyll A-B binding family protein"
"Prupe.1G023000"	971.074170248359	2.27185063717291	0.294870376312652	7.704574008357	1.31280479272088e-14	8.20140564679554e-13	32114536	"Prupe.1G023000.1"	"Prupe.1G023000.1.p"	"PF14306,PF01747"	"PTHR11055,PTHR11055:SF18"	""	"2.7.7.4"	"K13811"	"GO:0004781"	"AT3G22890.1"	"APS1"	"ATP sulfurylase 1"
"Prupe.1G023200"	38.5732381781129	-2.65665784885391	0.432471755758991	-6.14296266398126	8.09963271332343e-10	2.61008101011938e-08	32119642	"Prupe.1G023200.1"	"Prupe.1G023200.1.p"	"PF00690,PF12710,PF00122,PF00689"	"PTHR24093,PTHR24093:SF292"	""	"3.6.3.8"	"K01537"	"GO:0046872,GO:0000166"	"AT3G22910.1"	""	"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein"
"Prupe.1G023300"	77.8235211444521	-2.55637842240784	0.485764748880041	-5.26258529113468	1.42043732850575e-07	2.92208349821697e-06	32113168	"Prupe.1G023300.1"	"Prupe.1G023300.1.p"	"PF00690,PF12710,PF00122,PF00689"	"PTHR24093,PTHR24093:SF292"	""	"3.6.3.8"	"K01537"	"GO:0046872,GO:0000166"	"AT3G22910.1"	""	"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein"
"Prupe.1G023400"	52.3277792337372	-2.7000611466663	0.40676713899484	-6.63785465398805	3.18281470884927e-11	1.27852474083677e-09	32113927	"Prupe.1G023400.1"	"Prupe.1G023400.1.p"	"PF00690,PF12710,PF00122,PF00689"	"PTHR24093,PTHR24093:SF292"	""	"3.6.3.8"	"K01537"	"GO:0046872,GO:0000166"	"AT3G22910.1"	""	"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein"
"Prupe.1G025600"	394.769497960726	-1.97741135664641	0.362347562490892	-5.45722273679187	4.83639515991498e-08	1.10921198003185e-06	32114289	"Prupe.1G025600.1"	"Prupe.1G025600.1.p"	"PF08541,PF08392"	"PTHR31561,PTHR31561:SF25"	""	"2.3.1.199"	"K15397"	"GO:0016747,GO:0008610,GO:0016020,GO:0006633"	"AT1G04220.1"	"KCS2"	"3-ketoacyl-CoA synthase 2"
"Prupe.1G025900"	11.0025171392131	-3.96078374671417	0.855453091623907	-4.63004200405122	3.65591563209942e-06	5.43080800607853e-05	32116200	"Prupe.1G025900.1"	"Prupe.1G025900.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G026100"	28.5186294953745	-2.76883646128768	0.592507711821728	-4.67308088324217	2.96714847076677e-06	4.4995491999729e-05	32118345	"Prupe.1G026100.1"	"Prupe.1G026100.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G027600"	40.7415690004565	2.58840789515939	0.594605012291616	4.35315518983541	1.34192085822926e-05	0.000175077259440724	32114273	"Prupe.1G027600.1"	"Prupe.1G027600.1.p"	"PF02309"	"PTHR31734,PTHR31734:SF30"	""	""	"K14484"	"GO:0006355,GO:0005634"	"AT4G14550.1"	"IAA14,SLR"	"indole-3-acetic acid inducible 14"
"Prupe.1G027800"	115.464429699758	1.23306011162322	0.237518626887685	5.19142489067305	2.08690773167977e-07	4.10826142475519e-06	32115931	"Prupe.1G027800.1"	"Prupe.1G027800.1.p"	"PF01544"	"PTHR13890,PTHR13890:SF8"	"KOG2662"	""	"K16075"	"GO:0055085,GO:0046873,GO:0030001,GO:0016020"	"AT5G64560.1"	"ATMGT9,MGT9,MRS2-2"	"magnesium transporter 9"
"Prupe.1G027900"	84.9397936739253	0.642063683555281	0.236898142452461	2.71029429318606	0.00672235326371933	0.0358866177113782	32112955	"Prupe.1G027900.1"	"Prupe.1G027900.1.p"	"PF00626,PF04810,PF08033,PF04815,PF04811"	"PTHR11141,PTHR11141:SF4"	""	""	"K14006"	"GO:0030127,GO:0008270,GO:0006888,GO:0006886"	"AT5G43670.1"	""	"Sec23/Sec24 protein transport family protein"
"Prupe.1G028000"	3.40934405762773	-2.39183225127228	0.863247331437487	-2.77073807721986	0.00559293963778342	0.0309610199950869	32120403	"Prupe.1G028000.1"	"Prupe.1G028000.1.p"	"PF00097"	"PTHR10825,PTHR10825:SF28"	"KOG2660"	""	"K16277"	"GO:0046872"	"AT2G30580.1"	"DRIP2"	"DREB2A-interacting protein 2"
"Prupe.1G028500"	65.6290008782666	-1.35608033140175	0.307658691348771	-4.40774263667545	1.04453556632183e-05	0.000139862007519464	32115645	"Prupe.1G028500.1"	"Prupe.1G028500.1.p"	"PF14577,PF14576"	"PTHR33232,PTHR33232:SF5"	""	""	""	""	"AT3G01680.1"	""	""
"Prupe.1G028800"	899.904654285927	-1.54639421361949	0.301976758827932	-5.12090473327	3.04073242233811e-07	5.76606671446349e-06	32114088	"Prupe.1G028800.1"	"Prupe.1G028800.1.p"	"PF14577,PF14576"	"PTHR33232,PTHR33232:SF5"	""	""	""	""	"AT3G01680.1"	""	""
"Prupe.1G029400"	11.4810461945161	-1.99836452458262	0.708419382426589	-2.82087782202897	0.00478924393633671	0.0273138454235322	32112330	"Prupe.1G029400.1"	"Prupe.1G029400.1.p"	"PF03140"	"PTHR31549,PTHR31549:SF12"	""	""	""	""	"AT3G50150.1"	""	"Plant protein of unknown function (DUF247)"
"Prupe.1G030500"	349.527316793526	-4.9285980910422	0.472163780819981	-10.4383230803578	1.65712054846692e-25	2.96043132369099e-23	32120021	"Prupe.1G030500.1"	"Prupe.1G030500.1.p"	"PF00010"	"PTHR23042,PTHR23042:SF65"	""	""	""	"GO:0046983"	"AT5G43650.1"	"BHLH92"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"Prupe.1G032100"	2.57684933960531	2.82625656734018	0.930840261465211	3.03624229026303	0.00239546786700568	0.0155419237271225	32115467	"Prupe.1G032100.1"	"Prupe.1G032100.1.p"	"PF00280"	"PTHR33091,PTHR33091:SF14"	""	""	""	"GO:0009611,GO:0004867"	"AT2G38870.1"	""	"Serine protease inhibitor, potato inhibitor I-type family protein"
"Prupe.1G032400"	606.816686133137	3.11453967289685	0.93536323023583	3.32976492149643	0.000869193338758579	0.00666992898913234	32113758	"Prupe.1G032400.1"	"Prupe.1G032400.1.p"	"PF00280"	"PTHR33091,PTHR33091:SF14"	""	""	""	"GO:0009611,GO:0004867"	"AT5G43580.1"	""	"Serine protease inhibitor, potato inhibitor I-type family protein"
"Prupe.1G032500"	265.797355117062	2.35708404046061	0.915224781106693	2.57541544888067	0.0100119748455368	0.0490351320404012	32119655	"Prupe.1G032500.1"	"Prupe.1G032500.1.p"	"PF00280"	"PTHR33091,PTHR33091:SF14"	""	""	""	"GO:0009611,GO:0004867"	"AT2G38870.1"	""	"Serine protease inhibitor, potato inhibitor I-type family protein"
"Prupe.1G032700"	37.2599834211932	5.57215846552624	0.729859982474477	7.63455813351309	2.26596228270029e-14	1.39421715557323e-12	32114836	"Prupe.1G032700.1"	"Prupe.1G032700.1.p"	"PF00280"	"PTHR33091,PTHR33091:SF14"	""	""	""	"GO:0009611,GO:0004867"	"AT5G43580.1"	""	"Serine protease inhibitor, potato inhibitor I-type family protein"
"Prupe.1G033100"	23.4364193897559	3.77363872021823	0.647029476345376	5.83225163331493	5.46843667950876e-09	1.5277116792164e-07	32112787	"Prupe.1G033100.1"	"Prupe.1G033100.1.p"	""	"PTHR33592"	""	""	""	""	""	""	""
"Prupe.1G033700"	20.9612616694294	2.06137838002695	0.508176730081432	4.05642025304195	4.98305654692445e-05	0.000561932057777759	32119649	"Prupe.1G033700.1"	"Prupe.1G033700.1.p"	"PF03552"	"PTHR13301,PTHR13301:SF41"	""	"2.4.1.12"	""	"GO:0030244,GO:0016760,GO:0016020"	"AT4G24000.1"	"ATCSLG2,CSLG2"	"cellulose synthase like G2"
"Prupe.1G033800"	3.17060232020003	-3.13469348433604	0.929221166053227	-3.37346328178289	0.000742289457847088	0.00586175536972229	32111749	"Prupe.1G033800.1"	"Prupe.1G033800.1.p"	"PF00069"	"PTHR24361,PTHR24361:SF243"	"KOG0582"	"2.7.11.1"	""	"GO:0006468,GO:0005524,GO:0004672"	"AT4G14480.1"	""	"Protein kinase superfamily protein"
"Prupe.1G033900"	70.8794150644993	2.20410262322168	0.318135963025901	6.92817813571814	4.26294754213085e-12	1.93361224149303e-10	32112923	"Prupe.1G033900.1"	"Prupe.1G033900.1.p"	"PF13632,PF03552"	"PTHR13301,PTHR13301:SF41"	""	"2.4.1.12"	""	"GO:0030244,GO:0016760,GO:0016020"	"AT4G24000.1"	"ATCSLG2,CSLG2"	"cellulose synthase like G2"
"Prupe.1G034000"	7.65691932168505	-4.45125802817252	0.854944656638397	-5.20648675163917	1.92449427377759e-07	3.80896505148245e-06	32115098	"Prupe.1G034000.1"	"Prupe.1G034000.1.p"	"PF00069"	"PTHR24361,PTHR24361:SF243"	"KOG0582"	"2.7.11.1"	"K08835"	"GO:0006468,GO:0005524,GO:0004672"	"AT4G14480.1"	""	"Protein kinase superfamily protein"
"Prupe.1G034100"	6.17706496539643	2.87560076231677	0.811244662378358	3.5446775746866	0.000393093618455069	0.00341833673503669	32119167	"Prupe.1G034100.1"	"Prupe.1G034100.1.p"	"PF13912"	"PTHR26374,PTHR26374:SF170"	""	""	""	""	"AT3G23130.1"	"FLO10,FON1,SUP"	"C2H2 and C2HC zinc fingers superfamily protein"
"Prupe.1G034300"	1229.17910184303	0.843919405104929	0.291961873863113	2.89051236018784	0.0038461440630128	0.0229103743747642	32112238	"Prupe.1G034300.1"	"Prupe.1G034300.1.p"	"PF00512,PF01590,PF00072"	"PTHR24423,PTHR24423:SF530"	""	"2.7.11.1"	"K14509"	"GO:0007165,GO:0000155,GO:0005515,GO:0000160"	"AT3G23150.1"	"ETR2"	"Signal transduction histidine kinase, hybrid-type, ethylene sensor"
"Prupe.1G034600"	57.951021203118	1.00588588821966	0.28586127796277	3.5187902866322	0.000433519249681716	0.0037143681274791	32120061	"Prupe.1G034600.1"	"Prupe.1G034600.1.p"	"PF11961,PF05003"	"PTHR31371,PTHR31371:SF2"	""	""	""	""	"AT3G23160.1"	""	"Protein of unknown function (DUF668)"
"Prupe.1G034700"	143.053886902712	-0.978515196100411	0.34866830486535	-2.80643575124587	0.00500929008859453	0.0282523406104448	32118411	"Prupe.1G034700.1"	"Prupe.1G034700.1.p"	""	"PTHR33912,PTHR33912:SF2"	""	""	""	""	"AT4G14450.1"	""	""
"Prupe.1G035400"	123.003119591926	0.909257549482327	0.289034555373051	3.14584374975084	0.00165608454623993	0.0114022372781347	32112383	"Prupe.1G035400.1"	"Prupe.1G035400.1.p"	"PF08672,PF00888"	"PTHR11932,PTHR11932:SF5"	""	""	"K03349"	"GO:0031625,GO:0006511"	"AT2G04660.1"	"APC2"	"anaphase-promoting complex/cyclosome 2"
"Prupe.1G036900"	92.411747207444	0.977983770360664	0.275106139088804	3.55493255657582	0.000378076055445111	0.00331749114398756	32110933	"Prupe.1G036900.1"	"Prupe.1G036900.1.p"	"PF14226,PF03171"	""	"KOG0143"	"1.14.11.20"	""	"GO:0055114,GO:0016491"	"AT1G06620.1"	""	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"Prupe.1G037500"	174.36284937974	0.723658782289324	0.269306139816477	2.68712322259891	0.00720703600619912	0.0379370626265834	32119193	"Prupe.1G037500.1"	"Prupe.1G037500.1.p"	"PF01012"	"PTHR21294,PTHR21294:SF8"	"KOG3180"	""	"K03521"	"GO:0009055"	"AT5G43430.1"	"ETFBETA"	"electron transfer flavoprotein beta"
"Prupe.1G038700"	52.2858447908262	-1.38943152193136	0.488560302068258	-2.84393045454038	0.00445607729655429	0.0257234892918437	32120673	"Prupe.1G038700.1"	"Prupe.1G038700.1.p"	"PF07690"	"PTHR24064,PTHR24064:SF274"	""	""	"K08176"	"GO:0055085,GO:0016021"	"AT2G38940.1"	"ATPT2,PHT1;4"	"phosphate transporter 1;4"
"Prupe.1G038800"	30.0063126343924	2.18396077185658	0.5303544073878	4.11792707184886	3.82295626260311e-05	0.000442376859341903	32117941	"Prupe.1G038800.1"	"Prupe.1G038800.1.p"	"PF07714"	"PTHR24349,PTHR24349:SF122"	"KOG0032"	"2.7.11.1"	"K08794"	"GO:0006468,GO:0004672"	"AT1G08650.1"	"ATPPCK1,PPCK1"	"phosphoenolpyruvate carboxylase kinase 1"
"Prupe.1G039900"	550.775403626066	0.909460501643054	0.301033586277324	3.0211263563303	0.00251836243095122	0.0161438367229312	32120038	"Prupe.1G039900.1"	"Prupe.1G039900.1.p"	"PF13417"	"PTHR11260,PTHR11260:SF233"	"KOG0406"	"2.5.1.18"	"K00799"	"GO:0005515"	"AT2G29420.1"	"ATGSTU7,GST25,GSTU7"	"glutathione S-transferase tau 7"
"Prupe.1G041600"	10.3229322016099	2.23256688819937	0.651956263536493	3.42441205501878	0.00061613122737251	0.00503629503113668	32118966	"Prupe.1G041600.1"	"Prupe.1G041600.1.p"	"PF03819"	"PTHR14552,PTHR14552:SF2"	""	"3.6.1.12"	""	""	"AT3G25400.1"	""	""
"Prupe.1G041800"	8.67058146878821	3.35957750126485	0.75246959692701	4.46473520655842	8.01678367644278e-06	0.000110492983933887	32120839	"Prupe.1G041800.1"	"Prupe.1G041800.1.p"	"PF00786"	"PTHR23177,PTHR23177:SF8"	""	""	""	""	"AT4G28556.1"	"RIC7"	"PAK-box/P21-Rho-binding family protein"
"Prupe.1G042100"	46.2731085967204	1.32893775767225	0.359911581317023	3.69240065243045	0.000222147131090434	0.0020866592921726	32119475	"Prupe.1G042100.1"	"Prupe.1G042100.1.p"	"PF00225"	"PTHR24115,PTHR24115:SF416"	"KOG0243"	"3.6.4.4"	"K10398"	"GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871"	"AT4G14330.1"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"Prupe.1G042300"	56.5663127176387	1.06923586146846	0.40707885131943	2.62660626559899	0.00862410596970358	0.0436355219094107	32115594	"Prupe.1G042300.1"	"Prupe.1G042300.1.p"	""	"PTHR35492,PTHR35492:SF1"	""	""	""	""	"AT4G14310.1"	""	"Transducin/WD40 repeat-like superfamily protein"
"Prupe.1G042400"	17.6648017897079	-2.83731284087166	0.833662838916694	-3.40342967015133	0.000665455426283403	0.00537804175066976	32111127	"Prupe.1G042400.1"	"Prupe.1G042400.1.p"	"PF00890,PF05199"	"PTHR10668,PTHR10668:SF81"	""	"1.1.3.20"	"K17756"	"GO:0055114,GO:0016614"	"AT3G23410.1"	"ATFAO3,FAO3"	"fatty alcohol oxidase 3"
"Prupe.1G042500"	17.5727935106394	2.00923272457778	0.602796555012026	3.33318548002932	0.000858576840884921	0.00660588437531632	32119940	"Prupe.1G042500.1"	"Prupe.1G042500.1.p"	"PF03105,PF03124"	"PTHR10783,PTHR10783:SF53"	""	""	""	"GO:0016021"	"AT3G23430.1"	"ATPHO1,PHO1"	"phosphate 1"
"Prupe.1G042800"	3.3425573626333	-2.78268358066642	0.947112597795661	-2.93807049673178	0.0033026191624485	0.0201501323734051	32116372	"Prupe.1G042800.1"	"Prupe.1G042800.1.p"	"PF04749"	"PTHR15907,PTHR15907:SF55"	""	""	""	""	"AT3G18450.1"	""	"PLAC8 family protein"
